Name,Website,Phone,WhatsApp,Address,Map,Description,Category,Images
اتش كربينو,,"0114-0332-033
0100-7070-807",,"317, حدائق الاهرام, الهرم, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AA%D8%B4-%D9%83%D8%B1%D8%A8%D9%8A%D9%86%D9%88/626275?position=400&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,كريب ووافل,
اتلانتس,,"0115-4787-650
0115-4787-652",,", المحور المركزى, الحى العاشر, السادس من اكتوبر, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AA%D9%84%D8%A7%D9%86%D8%AA%D8%B3/429830?position=401&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم ايطالية,
اتلانتس كورنرز,,0120-0000-761,,"74 ش عبد العزيز ال سعود, المنيل, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AA%D9%84%D8%A7%D9%86%D8%AA%D8%B3-%D9%83%D9%88%D8%B1%D9%86%D8%B1%D8%B2/505832?position=402&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم عالمية,
اتيباسى كوفى,,"0102-1543-709
02-3612-1151",,"طريق الواحات, السادس من اكتوبر, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AA%D9%8A%D8%A8%D8%A7%D8%B3%D9%89-%D9%83%D9%88%D9%81%D9%89/618418?position=403&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مقاهى,
اثانور كافيه,,0106-9503-541,,"3 ش المليل متفرع من ش الفنار - منطقة لايت هاوس, المسبط, دهب.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AB%D8%A7%D9%86%D9%88%D8%B1-%D9%83%D8%A7%D9%81%D9%8A%D9%87/540370?position=404&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم ايطالية,
اثيل للاغذية والمشروبات,https://www.atheel-eg.com/,0100-3211-114,,"القطعة 574, المنطقة الصناعية, التجمع الثالث, القاهرة الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AB%D9%8A%D9%84-%D9%84%D9%84%D8%A7%D8%BA%D8%B0%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA/688616?position=405&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مخابز ومعجنات وحلوى محلات,
اثينا جريك تافيرنا,http://www.athenagreektaverna.wixsite.com/elgouna,"0100-6965-102
065-3580-520",https://web.whatsapp.com/send?phone=+201006965102,"ش ايناس الدغيدى - عمارة H4, وسط البلد, الجونة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AB%D9%8A%D9%86%D8%A7-%D8%AC%D8%B1%D9%8A%D9%83-%D8%AA%D8%A7%D9%81%D9%8A%D8%B1%D9%86%D8%A7/167661?position=406&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,مطاعم يونانية,
اجزكتيف لونج,http://www.radissonblu.com/hotel-alexandria/dining,"03-5896-000
03-5896-002
03-5896-020",,"كم 23 - محور التعمير - مجمع اليكس ويست, طريق اسكندرية مطروح الصحراوى, الساحل الشمالى.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AC%D8%B2%D9%83%D8%AA%D9%8A%D9%81-%D9%84%D9%88%D9%86%D8%AC/247329?position=407&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,اماكن ليلية,
اجزيكاتيف لونج,,"069-3710-210
069-3710-209",,"الغرقانة, خليج نبق, شرم الشيخ.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AC%D8%B2%D9%8A%D9%83%D8%A7%D8%AA%D9%8A%D9%81-%D9%84%D9%88%D9%86%D8%AC/244178?position=408&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,اماكن ليلية,
اجزيكتيف لونج,,"0111-0778-857
0111-0778-856
0128-0980-856",,"طريق الغردقة سفاجا, سهل حشيش, الغردقة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AC%D8%B2%D9%8A%D9%83%D8%AA%D9%8A%D9%81-%D9%84%D9%88%D9%86%D8%AC/246612?position=409&key=%D9%85%D8%B7%D8%A7%D8%B9%D9%85&mod=search&categoryId=3165,,وجبات سريعة,
