Name,Website,Phone,WhatsApp,Address,Map,Description,Category,Images
اديو بيانو استور,https://audiopianostore.com/,"0109-8203-531
0100-2121-470",https://web.whatsapp.com/send?phone=+201098203531,"27 ش نصوح, حدائق الزيتون, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D9%8A%D9%88-%D8%A8%D9%8A%D8%A7%D9%86%D9%88-%D8%A7%D8%B3%D8%AA%D9%88%D8%B1/617610?position=1&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
ار ميوزيك ستور,,0106-8370-686,,"20 ش سوريا, الشقة 12, الدور 1, رشدى, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1-%D9%85%D9%8A%D9%88%D8%B2%D9%8A%D9%83-%D8%B3%D8%AA%D9%88%D8%B1/639463?position=2&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
ارت مانيا,http://www.artmaniacenter.com/,"0128-5935-573
0120-6497-252",,"40 محور 26 يوليو, الشيخ زايد, السادس من اكتوبر, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%AA-%D9%85%D8%A7%D9%86%D9%8A%D8%A7/513162?position=3&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
اكاديمية الموسيقى والغناء,,0102-3737-538,,", الحى الاول - المجاورة الثالثة, الشيخ زايد, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89-%D9%88%D8%A7%D9%84%D8%BA%D9%86%D8%A7%D8%A1/685352?position=4&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
الاستاذ للالات الموسيقية,,"02-3568-5231
0111-7474-954
02-3568-5231",,"428 ش الهرم, نصر الدين, الهرم, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%A7%D8%B0-%D9%84%D9%84%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9/12355?position=5&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
الاكاديمية الموسيقية بالجامعة الالمانية,,"02-2759-0754
02-2758-2125",,"التجمع الخامس, القاهرة الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D9%84%D8%A7%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D8%A8%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D8%A7%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A9/470463?position=6&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
الصوت والضوء,,"02-2393-7363
0100-6752-189",,"16 ش ارض شريف متفرع من ش محمد على, العتبة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D9%84%D8%B5%D9%88%D8%AA-%D9%88%D8%A7%D9%84%D8%B6%D9%88%D8%A1/188105?position=7&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
الفن الشعبى الحديث,,03-4800-383,,"3 ش اسماعيل صبرى, بحرى, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D9%84%D9%81%D9%86-%D8%A7%D9%84%D8%B4%D8%B9%D8%A8%D9%89-%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D8%AB/28550?position=8&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
الكونسرفتوار - المعهد العالى للموسيقى,,"02-3561-3451
02-3561-3451",,"1 ش جمال الدين الافغانى, الهرم, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D9%84%D9%83%D9%88%D9%86%D8%B3%D8%B1%D9%81%D8%AA%D9%88%D8%A7%D8%B1-_-%D8%A7%D9%84%D9%85%D8%B9%D9%87%D8%AF-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%89-%D9%84%D9%84%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89/99304?position=9&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
الماس للادوات الموسيقية,,0122-2178-374,,"25 مساكن الضباط - , مدينة نصر, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D9%84%D9%85%D8%A7%D8%B3-%D9%84%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9/172702?position=10&key=%D8%A7%D9%84%D8%A7%D8%AA-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%8A%D8%A9-%D9%88%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D9%85%D9%88%D8%B3%D9%8A%D9%82%D9%89&mod=category&categoryId=2690,,الات موسيقية وتعليم موسيقى,
