Name,Website,Phone,WhatsApp,Address,Map,Description,Category,Images
ابو مالك للديكور,,"0121-2185-300
0112-2257-001",https://web.whatsapp.com/send?phone=+201212185300,", ., جسر السويس, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%A8%D9%88-%D9%85%D8%A7%D9%84%D9%83-%D9%84%D9%84%D8%AF%D9%8A%D9%83%D9%88%D8%B1/655802?position=1&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
اتش زون,,"0100-7774-151
0103-3978-666",https://web.whatsapp.com/send?phone=+201007774151,", ., الدقى, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AA%D8%B4-%D8%B2%D9%88%D9%86/635112?position=2&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
اجازتك معانا,,0155-1877-074,,", خدمة اونلاين, وسط البلد, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AC%D8%A7%D8%B2%D8%AA%D9%83-%D9%85%D8%B9%D8%A7%D9%86%D8%A7/516919?position=3&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
احلى صورة,,0100-6554-951,,", ., العمرانية الشرقية, الهرم, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%84%D9%89-%D8%B5%D9%88%D8%B1%D8%A9/651757?position=4&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
احمد بيه,,"0100-1967-642
0122-2193-881",,", ., المقطم, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%A8%D9%8A%D9%87/647568?position=5&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
احمد سوشى,http://www.ahmedsushi.com/,0100-1800-659,https://web.whatsapp.com/send?phone=+201001967642,", اعمال حرة, القاهرة الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D8%B3%D9%88%D8%B4%D9%89/614422?position=6&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
احمد نجاتى فوتوجرافى,http://www.ahmednagaty.com/,0111-9909-317,https://web.whatsapp.com/send?phone=+201001800659,", ., القاهرة الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AD%D9%85%D8%AF-%D9%86%D8%AC%D8%A7%D8%AA%D9%89-%D9%81%D9%88%D8%AA%D9%88%D8%AC%D8%B1%D8%A7%D9%81%D9%89/537889?position=7&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
اخبار وطنى,http://www.awatany.com/Egypt,0100-5813-154,,", ., حلوان, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D9%88%D8%B7%D9%86%D9%89/494738?position=8&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
ادز ميكس,http://www.adzmix.com/,0101-6131-558,https://web.whatsapp.com/send?phone=+201005813154,", ., وسط البلد, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%AF%D8%B2-%D9%85%D9%8A%D9%83%D8%B3/650333?position=9&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
ار بى ام ارابيا,https://rpmarabia.com/,0102-8245-942,https://web.whatsapp.com/send?phone=+201016131558,", ., السادس من اكتوبر, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1-%D8%A8%D9%89-%D8%A7%D9%85-%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D8%A7/634317?position=10&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
ارابيكيا ستور,https://arabekiastore.com/,0120-0241-228,https://web.whatsapp.com/send?phone=+201028245942,", ., بنى سويف, بنى سويف.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%A7%D8%A8%D9%8A%D9%83%D9%8A%D8%A7-%D8%B3%D8%AA%D9%88%D8%B1/672352?position=11&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
ارسم بيتك,,"0114-9892-024
0103-2107-745",,", ., المعادى الجديدة, المعادى, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%B3%D9%85-%D8%A8%D9%8A%D8%AA%D9%83/654578?position=12&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
ارش كورنر ثرى دى,,0109-2771-847,https://web.whatsapp.com/send?phone=+201149892024,", ., شبرا, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B1%D8%B4-%D9%83%D9%88%D8%B1%D9%86%D8%B1-%D8%AB%D8%B1%D9%89-%D8%AF%D9%89/654135?position=13&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
اسامة محرم ديزاينز,,"0111-0915-077
0109-9870-430",,", ., محطة الرمل, الاسكندرية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B3%D8%A7%D9%85%D8%A9-%D9%85%D8%AD%D8%B1%D9%85-%D8%AF%D9%8A%D8%B2%D8%A7%D9%8A%D9%86%D8%B2/415848?position=14&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
اسما الديب ميكب ارتيست,,"0100-3236-262
0100-7290-802",https://web.whatsapp.com/send?phone=+201110915077,", ., مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B3%D9%85%D8%A7-%D8%A7%D9%84%D8%AF%D9%8A%D8%A8-%D9%85%D9%8A%D9%83%D8%A8-%D8%A7%D8%B1%D8%AA%D9%8A%D8%B3%D8%AA/533446?position=15&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
اشرس هوم اكسيسوريز,,"0101-6846-484
0128-2233-396",,", ., التجمع الخامس, القاهرة الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B4%D8%B1%D8%B3-%D9%87%D9%88%D9%85-%D8%A7%D9%83%D8%B3%D9%8A%D8%B3%D9%88%D8%B1%D9%8A%D8%B2/503570?position=16&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
اشيك الموديلات,,"0102-0492-160
0127-5478-354
0109-9334-301",,", ., مساكن شيراتون, مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B4%D9%8A%D9%83-%D8%A7%D9%84%D9%85%D9%88%D8%AF%D9%8A%D9%84%D8%A7%D8%AA/506344?position=17&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
اعلانات مصر,,0102-2688-101,,", ., المعادى, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%B9%D9%84%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D8%B5%D8%B1/518780?position=18&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
أفلام حصرية,https://www.exclusivemoviess.com/,0122-0295-500,https://web.whatsapp.com/send?phone=+201022688101,", مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A3%D9%81%D9%84%D8%A7%D9%85-%D8%AD%D8%B5%D8%B1%D9%8A%D8%A9/658581?position=19&key=%D8%AA%D8%B3%D9%88%D9%82-%D8%B9%D8%A8%D8%B1-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA&mod=category&categoryId=9897,,تسوق عبر الانترنت,
