Name,Website,Phone,WhatsApp,Address,Map,Description,Category,Images
يلوميديا - يلوبيدجز مصر,https://www.yellowmedia.com.eg/,"02-2622-2639
0122-4195-585",https://web.whatsapp.com/send?phone=+201224195585,"1 هـ ش القدس الشريف, النزهة, مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D9%8A%D9%84%D9%88%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-_-%D9%8A%D9%84%D9%88%D8%A8%D9%8A%D8%AF%D8%AC%D8%B2-%D9%85%D8%B5%D8%B1/702495?position=1&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,نحن متخصصون فى ظهور شركتك، سواء على القنوات الإعلامية الرقمية، أو الاجتماعية (السوشيال ميديا)، او المحمولة (الموبايل ) أو المطبوعة او على YP.eg (الدليل الاول على الإنترنت في مصر) وأيضًا على محركات بحث Google وشبكة Google الإعلانية و YouTube وعلى نشاطى التجاري على جوجل (Google My Business) وFB وInstagram وYoum7 والعديد من المنصات الشائعة والمعروفة التى تمكنك من جذب عملاء جدد.,تصميم مواقع الكترونية,https://cdn.yellowpages.com.eg/static/modules/uploads/logos/yp.jpg?2
اكستريم ديجيتال,https://www.xtremedsa.com/,"0100-5035-218
0112-1626-154
02-2269-4645",https://web.whatsapp.com/send?phone=+201121626154,"2 ابراج مصر للتعمير ش انقرة, المنطقة الرابعة, مساكن شيراتون, مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D9%83%D8%B3%D8%AA%D8%B1%D9%8A%D9%85-%D8%AF%D9%8A%D8%AC%D9%8A%D8%AA%D8%A7%D9%84/502393?position=2&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,شركة اكستريم ديجيتال مرخصة تعمل منذ عام 2005 فى مجال تصميم المواقع وتطبيقات الموبايل والتسويق الالكترونى وجميع خدمات التسويق الرقمي. نمتلك خبرة كبيرة وسابقة أعمال كبيرة فى المجال الصناعى، الطبى، الحكومي، المقاولات، الشخصيات العامة والشركات الناشئة. أفكار ابتكارية لمواكبة سوق العمل - أسعار منافسة جدا - التزام بالمواعيد -خدمة الدعم الفنى - فريق عمل احترافي.,تصميم مواقع الكترونية,"https://cdn.yellowpages.com.eg/static/modules/uploads/logos/xtreme-digital-services-agency-logo_502393_2023_sh_78575.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_01_69566.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_02_66187.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_03_68051.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_04_52911.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_05_73125.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_06_21139.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_07_75828.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_08_77722.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_09_276.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_10_32064.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_11_23863.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_12_9208.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_13_42204.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_14_3153.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_15_23005.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_16_70938.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_17_70535.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_18_26427.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_19_861.jpg?2
https://cdna1.yellowpages.com.eg/uploads/contract-services/english/2024/17/xtreme-digital-services-agency-photo_502393_2023_sh_20_7349.jpg?2"
سبارك للانظمة,http://www.spark-sys.com/,"02-2678-3092
0114-0886-688
0111-4445-888",,"فيلا 325, النرجس 2,التجمع الخامس, القاهرة الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%B3%D8%A8%D8%A7%D8%B1%D9%83-%D9%84%D9%84%D8%A7%D9%86%D8%B8%D9%85%D8%A9/223406?position=3&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,,تصميم مواقع الكترونية,
فكر كريتيف,http://www.fikrcreative.com/,"0100-0377-788
02-2434-2662",,"123 أ ش مصر والسودان, حدائق القبة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D9%81%D9%83%D8%B1-%D9%83%D8%B1%D9%8A%D8%AA%D9%8A%D9%81/463633?position=4&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,,تصميم مواقع الكترونية,
202,http://www.202eg.com/,0100-0232-229,,"115 ش سليم الاول, الزيتون, القاهرة.",https://yellowpages.com.eg/en/profile/202/136367?position=5&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,,تصميم مواقع الكترونية,
700 ابس,https://700apps.com/,0112-5232-202,,"34 ش القدس الشريف, متفرع من ش شهاب, المهندسين, الجيزة.",https://yellowpages.com.eg/ar/profile/700-%D8%A7%D8%A8%D8%B3/688625?position=6&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,,تصميم مواقع الكترونية,
اب لخدمات الويب,,0100-2320-100,,"24 ش احمد ماهر, المنصورة, الدقهلية.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%A8-%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D9%88%D9%8A%D8%A8/470519?position=7&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,,تصميم مواقع الكترونية,
ابتتيود,http://www.apptitude-eg.com/,"0100-0888-069
02-3305-7432
0100-7977-368
0100-2407-228",,"58 عمارات الاعلام - ميدان النبوى المهندس - الدور 10 شقة 1009, العجوزة, الجيزة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%A8%D8%AA%D8%AA%D9%8A%D9%88%D8%AF/326845?position=8&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,,تصميم مواقع الكترونية,
ابراج لتصميم المواقع,https://iitcwebdesign.com/,,,"21 ش عبد الله دراز, ارض الجولف, مصر الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%A8%D8%B1%D8%A7%D8%AC-%D9%84%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D9%82%D8%B9/488127?position=9&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,,تصميم مواقع الكترونية,
ابس انوفيت,http://www.appsinnovate.com/,"02-2691-0901
0100-4611-164",,"20 ش كمال حجاب, النزهة الجديدة, القاهرة.",https://yellowpages.com.eg/ar/profile/%D8%A7%D8%A8%D8%B3-%D8%A7%D9%86%D9%88%D9%81%D9%8A%D8%AA/351715?position=10&key=%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9&mod=category&categoryId=2200,,تصميم مواقع الكترونية,
